"1","аванпост","1",NULL,"0"
"2","автогол","1",NULL,"0"
"3","автопарк","1",NULL,"0"
"4","автоплуг","1",NULL,"0"
"5","автостоп","1",NULL,"0"
"6","агитпункт","1",NULL,"0"
"7","ад","1",NULL,"0"
"8","аероклуб","1",NULL,"0"
"9","акростих","1",NULL,"0"
"10","акт","1",NULL,"0"
"11","амперчас","1",NULL,"0"
"12","ар","1",NULL,"0"
"13","архитип","1",NULL,"0"
"14","ас","1",NULL,"0"
"15","ат","1",NULL,"0"
"16","аудиодиск","1",NULL,"0"
"17","аудиофайл","1",NULL,"0"
"18","аут","1",NULL,"0"
"19","байт","1",NULL,"0"
"20","байц","1",NULL,"0"
"21","бал","1",NULL,"0"
"22","бар","1",NULL,"0"
"23","баркод","1",NULL,"0"
"24","барплот","1",NULL,"0"
"25","бас","1",NULL,"0"
"26","бег","1",NULL,"0"
"27","бел","1",NULL,"0"
"28","бент","1",NULL,"0"
"29","бизнесблок","1",NULL,"0"
"30","бизнесклуб","1",NULL,"0"
"31","бизнесплан","1",NULL,"0"
"32","бик","1",NULL,"0"
"33","билборд","1",NULL,"0"
"34","бинт","1",NULL,"0"
"35","биоток","1",NULL,"0"
"36","бис","1",NULL,"0"
"37","бит","1",NULL,"0"
"38","бич","1",NULL,"0"
"39","блок","1",NULL,"0"
"40","блокпост","1",NULL,"0"
"41","блокшрифт","1",NULL,"0"
"42","блус","1",NULL,"0"
"43","блъф","1",NULL,"0"
"44","блян","1",NULL,"0"
"45","боб","1",NULL,"0"
"46","бог","1",NULL,"0"
"47","бод","1",NULL,"0"
"48","бодигард","1",NULL,"0"
"49","бокс","1",NULL,"0"
"50","болт","1",NULL,"0"
"51","бон","1",NULL,"0"
"52","бор","1",NULL,"0"
"53","борд","1",NULL,"0"
"54","борч","1",NULL,"0"
"55","борш","1",NULL,"0"
"56","бос","1",NULL,"0"
"57","бошлаф","1",NULL,"0"
"58","брак","1",NULL,"0"
"59","бранш","1",NULL,"0"
"60","бридж","1",NULL,"0"
"61","бриз","1",NULL,"0"
"62","брич","1",NULL,"0"
